time_slot	column_a	column_b	column_c	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	창섭이	https://youtu.be/x9XHR0Gk1dA	3:02/1분	x9XHR0Gk1dA	UCGpz7I5JEixbGWA6dN65VsQ	"창-pop 하드코어 펑크 메들리"	창섭이	2025-09-17T14:00:00Z	2025-09-17T14:00:06Z	2025-09-17T14:04:29Z
23:05	물통도정	https://youtu.be/dYESXxi5pQw	3:33/1분	dYESXxi5pQw	UCsrInF6CK1bfsnMObuuZHGQ	"[창팝x마팝] 파멸의 음유시인 (리부트 서사시) (마비노기 g1~27 스포)"	물통도정	2025-09-17T14:05:00Z	2025-09-17T14:05:06Z	2025-09-17T14:09:59Z
23:10	ー	https://youtu.be/tEOv8fSmlRc	"3:49 / 2분"	tEOv8fSmlRc	UC746JBWOkITyP1daLaTPnxw	"[한글자막]메벤남-Heartbreaking issue(PV듣기가사mp3다운).rat"	ー	2025-09-17T14:10:00Z	2025-09-17T14:10:06Z	2025-09-17T14:15:58Z
23:15	창팝용	https://youtu.be/NLGPD7TMjzE	"2:48 / 2분"	NLGPD7TMjzE	UC-6V2KF8UierJH9EXkjoQEw	폐기물	창팝용	2025-09-17T14:15:00Z	2025-09-17T14:15:06Z	2025-09-17T14:19:58Z
23:20										
23:25										
23:30										
23:35										
23:40										
23:45										
23:50										
23:55										
